0.92;0.39;1.00;0.81;0.06
0.92;0.92;1.00;0.06;0.83
1.00;0.89;1.00;0.20;0.90
0.89;0.54;1.00;0.15;0.90
1.00;0.92;1.00;0.90;0.81
1.00;0.92;0.94;0.86;0.04
1.00;1.00;0.87;0.81;0.90
1.00;1.00;0.16;0.05;0.08
1.00;1.00;0.94;;0.25
0.90;1.00;0.47;;0.06
;0.93;1.00;;0.07
;0.92;0.06;;0.02
;0.85;0.05;;0.35
;;0.06;;0.19
;;0.36;;0.07
;;0.13;;
;;0.21;;
;;1.00;;
