3;4;5;6
0.4;0.42;0.54;0.08
0.3;0.58;0.4;0.68
0.21;0.34;0.1;0.68
0.82;0.34;0.82;0.01
0.8;0.21;0.82;0.2
0.56;0.5;0.26;0.07
0.27;1;0.19;0.02
0.47;0.85;0.62;0.06
0.82;0.79;0.54;0.6
0.82;0.79;0.64;
0.47;0.8;0.3;
;0.79;0.09;
;0.79;0.25;
;0.75;0.25;
;0.73;0.16;
;0.73;0.29;
;0.85;0.14;
;0.79;0.05;
;0.19;;
