,normal sscore (avg),normal sscore std,specific sscore (avg),specific sscore (std),lcs-sucessful (avg),lcs-sucessful (std),lcs-unsucessful (avg),lcs-unsucessful (std),efficiency parsing (avg),efficiency parsing (std),efficiency production (avg),efficiency production (std),applied-cxns-parsing (avg),applied-cxns-parsing (std),applied-cxns-production (avg),applied-cxns-production (std)
3,0.77445282,0.137952927,0.915151515,0.197969491,1,0,#DIV/0!,#DIV/0!,0.577272727,0.244584992,0.54,0.239165215,9.363636364,0.924416278,9.090909091,0.70064905
4,0.641997462,0.142461684,0.781954887,0.416138226,0.9,0.207019668,0.25,0,0.645789474,0.252747476,0.644210526,0.238381482,10.47368421,1.611363158,10.15789474,2.339590607
5,0.623336243,0.185511932,0.647402821,0.475977595,0.8,0.346410162,0.4,0.236643191,0.287222222,0.232829288,0.358888889,0.246406858,11.94444444,2.287362268,11.44444444,2.548868774
6,0.598942787,0.170635741,0.733091787,0.410285094,0.541666667,0.284637521,0.366666667,0.139443338,0.237777778,0.182124805,0.266666667,0.295846244,15.11111111,1.900292375,14.77777778,1.6414763
